country,model_type,data_type,rmse,mase,n_predictions
China,loco,actual,2598.137957585421,1.7842439417864533,9
China,single,actual,1732.5839255091423,0.9255241723171888,9
Brazil,loco,actual,318.03647650805726,3.116249756236109,9
Brazil,single,actual,332.96098724705047,3.4039459039262248,9
Russia,loco,actual,157.44280141358766,0.6256133406981508,9
Russia,single,actual,300.44021464419785,1.1991383984716901,9
India,loco,actual,755.3857707130087,1.3479048831401486,9
India,single,actual,402.22081578101967,0.6272163078583913,9
Mexico,loco,actual,396.46523906758483,4.857919327565889,9
Mexico,single,actual,204.29905567839995,2.5602464633772937,9
Indonesia,loco,actual,304.2740817212956,1.6772531596541616,9
Indonesia,single,actual,258.4859994573271,1.2453571290551315,9
Turkey,loco,actual,109.81401171456787,1.2608020440685999,9
Turkey,single,actual,111.87462795392385,1.1324764084780938,9
Saudi Arabia,loco,actual,565.7898395979256,4.45253104583275,9
Saudi Arabia,single,actual,244.2817822851111,1.9176304844925962,9
South Africa,loco,actual,149.04140787823476,2.8173488136142097,9
South Africa,single,actual,88.15300929197039,1.5451035725715505,9
Argentina,loco,actual,71.33012752745664,1.492489342835347,9
Argentina,single,actual,59.47726194090774,1.3601679571593204,9
