iteration,time_step,prediction,actual,error,rmse,mase,adjusted_prediction,adjusted_error,rmse_adjusted
0,5,1110.287,1125.551,-15.26401269531243,12.78361438665043,0.35934864043742315,1117.9190058363524,-7.631994163647505,6.391810315481115
0,6,1151.6466,1154.299,-2.652393554687478,12.78361438665043,0.35934864043742315,1152.9727951699442,-1.326204830055758,6.391810315481115
0,7,1172.3181,1188.137,-15.818884765624944,12.78361438665043,0.35934864043742315,1180.2275396415394,-7.909460358460592,6.391810315481115
1,8,1228.105,1217.288,10.816980468749989,13.365877884997825,0.3010044984402121,1222.696464173429,5.408464173428911,6.6829285358219375
1,9,1240.6693,1246.33,-5.660688476562427,13.365877884997825,0.3010044984402121,1243.499662484476,-2.830337515523979,6.6829285358219375
1,10,1277.6775,1297.347,-19.66950976562498,13.365877884997825,0.3010044984402121,1287.5122500653213,-9.834749934678712,6.6829285358219375
2,11,1304.6156,1305.259,-0.6433994140625146,0.8772237854157146,0.03721864921933749,1304.9372883591284,-0.3217116408716265,0.4386155295324967
2,12,1315.3678,1315.385,-0.017202148437490905,0.8772237854157146,0.03721864921933749,1315.376386550922,-0.008613449077984114,0.4386155295324967
2,13,1343.1213,1341.745,1.3763378906251091,0.8772237854157146,0.03721864921933749,1342.4331701656304,0.6881701656304813,0.4386155295324967
3,14,1362.1243,1360.862,1.26226757812492,8.749620695202202,0.3034204104193616,1361.4931412221006,0.6311412221004957,4.374811996091082
3,15,1392.7999,1404.444,-11.64407324218746,8.749620695202202,0.3034204104193616,1398.621985290278,-5.822014709721998,4.374811996091082
3,16,1419.9672,1410.35,9.617163085937591,8.749620695202202,0.3034204104193616,1415.1586115959778,4.808611595977936,4.374811996091082
4,17,1464.2832,1470.838,-6.554796874999965,9.891638617284368,0.26293074550817697,1467.5606347197484,-3.2773652802516153,4.945797849727104
4,18,1504.4346,1506.167,-1.7324296874999163,9.891638617284368,0.26293074550817697,1505.3007646649087,-0.8662353350912326,4.945797849727104
4,19,1516.0107,1531.745,-15.73425781249989,9.891638617284368,0.26293074550817697,1523.8779000085713,-7.867099991428631,4.945797849727104
5,20,1520.1008,1509.545,10.555830078124927,19.11490386529237,0.7054013303133247,1514.8229173790169,5.277917379016799,9.55745138568463
5,21,1524.4806,1508.839,15.641590820312558,19.11490386529237,0.7054013303133247,1516.6597880531765,7.820788053176557,9.55745138568463
5,22,1531.3981,1558.602,-27.20392871093759,19.11490386529237,0.7054013303133247,1545.0000334753854,-13.601966524614681,9.55745138568463
6,23,1555.5287,1536.113,19.415686523437444,13.256452670502963,0.7836924843466799,1545.8208484136835,9.70784841368345,6.628231709016351
6,24,1544.4495,1555.586,-11.136537109375013,13.256452670502963,0.7836924843466799,1550.017711686466,-5.5682883135339125,6.628231709016351
6,25,1561.3385,1566.458,-5.119499023437584,13.256452670502963,0.7836924843466799,1563.898271264463,-2.559728735537192,6.628231709016351
7,26,1574.5713,1601.271,-26.699710937499958,35.292230865196196,6.674448644047175,1587.9211711926582,-13.349828807341737,17.646118166574364
7,27,1557.8837,1606.503,-48.61933300781243,35.292230865196196,6.674448644047175,1582.193306627649,-24.30969337235092,17.646118166574364
7,28,1575.9573,1601.646,-25.688724609374958,35.292230865196196,6.674448644047175,1588.80164956866,-12.84435043133999,17.646118166574364
8,29,1543.584,1624.987,-81.40301562500008,98.45721108866603,1.1733395140397795,1584.2854689889332,-40.70153101106689,49.228613348301565
8,30,1534.5118,1679.844,-145.33215917968755,98.45721108866603,1.1733395140397795,1607.1779152016632,-72.6660847983369,49.228613348301565
8,31,1548.6078,1585.126,-36.518211914062476,98.45721108866603,1.1733395140397795,1566.8669033622746,-18.259096637725406,49.228613348301565
9,32,1528.9073,1589.075,-60.167651367187545,118.43077875613355,2.698210553251045,1558.9911649198586,-30.083835080141398,59.21538875050079
9,33,1524.5234,1661.016,-136.49256250000008,118.43077875613355,2.698210553251045,1592.7697525527603,-68.24624744723974,59.21538875050079
9,34,1531.647,1672.456,-140.8090273437499,118.43077875613355,2.698210553251045,1602.0514591602232,-70.4045408397767,59.21538875050079
