country,model_type,data_type,rmse,mase,n_predictions
China,loco,actual,6971.530591276564,3.9641054791162453,9
China,single,actual,1758.4121749438975,0.7986450305737501,9
Brazil,loco,actual,258.379163019097,2.3035399026709977,9
Brazil,single,actual,251.80762457514754,2.1693404534892498,9
Russia,loco,actual,567.3295908720744,2.851204707962847,9
Russia,single,actual,277.56613882707967,1.3682375639109274,9
India,loco,actual,491.1092592181854,0.7154843220152942,9
India,single,actual,565.6130100727894,0.7707165167108188,9
Mexico,loco,actual,319.14204492890235,3.1200791947986346,9
Mexico,single,actual,200.92520152525944,1.85605958460509,9
Indonesia,loco,actual,221.9560332985981,1.21884110429847,9
Indonesia,single,actual,172.42234441271813,0.7470755229456332,9
Turkey,loco,actual,575.8337230261258,7.962195274013439,9
Turkey,single,actual,119.96414751716858,1.472072858120985,9
Saudi Arabia,loco,actual,3775.08351466606,26.824333964113116,9
Saudi Arabia,single,actual,477.9582208001879,3.928031880350263,9
South Africa,loco,actual,211.11636231767744,4.089304400586536,9
South Africa,single,actual,62.20712466810614,1.1070334304412672,9
Argentina,loco,actual,98.37440847536817,2.2078480038379067,9
Argentina,single,actual,102.40570383668698,1.8948638803436235,9
