iteration,time_step,prediction,actual,error,rmse,mase,adjusted_prediction,adjusted_error,rmse_adjusted
0,5,5399.3076,5364.279,35.02861718749955,56.159657484732364,0.3946644195174438,5381.793199986469,17.514199986468157,28.079829043603947
0,6,5512.505,5425.259,87.24588281249999,56.159657484732364,0.3946644195174438,5468.881958645392,43.62295864539192,28.079829043603947
0,7,5637.9404,5612.983,24.957429687499825,56.159657484732364,0.3946644195174438,5625.461809046159,12.478809046158858,28.079829043603947
1,8,5686.6875,5688.142,-1.4544999999998254,38.91621446664695,0.5418775399262388,5687.414814722881,-0.7271852771191334,19.45804699412217
1,9,5768.442,5733.281,35.16089453125005,38.91621446664695,0.5418775399262388,5750.861395442509,17.580395442509143,19.45804699412217
1,10,5861.407,5803.918,57.489226562500335,38.91621446664695,0.5418775399262388,5832.6625242808805,28.744524280880796,19.45804699412217
2,11,5900.116,6010.136,-110.01978906250042,68.21693209900654,0.7588715211271421,5955.126102048873,-55.00989795112764,34.10848143759308
2,12,5950.051,5907.74,42.31078125000022,68.21693209900654,0.7588715211271421,5928.895441766189,21.155441766189142,34.10848143759308
2,13,5938.178,5946.308,-8.129777343749993,68.21693209900654,0.7588715211271421,5942.243036406092,-4.064963593908033,34.10848143759308
3,14,6011.4805,6010.146,1.3344687500002692,38.98111351482286,0.47961146004900057,6010.813259239732,0.6672592397326298,19.490589683722167
3,15,6089.661,6112.655,-22.993867187499745,38.98111351482286,0.47961146004900057,6101.1580857519,-11.496914248099529,19.490589683722167
3,16,6068.716,6132.183,-63.46717968749999,38.98111351482286,0.47961146004900057,6100.449343000901,-31.733656999099367,19.490589683722167
4,17,6020.3345,6052.686,-32.351527343749694,30.945860254919587,0.21112001544756004,6036.510216956234,-16.175783043765477,15.472927326491558
4,18,6157.9326,6130.123,27.809617187500407,30.945860254919587,0.21112001544756004,6144.02790154851,13.90490154851068,15.472927326491558
4,19,5882.67,5915.119,-32.44907812499969,30.945860254919587,0.21112001544756004,5898.894567929819,-16.224432070181138,15.472927326491558
5,20,5479.613,5480.726,-1.113207031249658,26.335329595103797,0.12990629077868052,5480.169460751856,-0.556539248143963,13.167708047995474
5,21,5642.8228,5679.715,-36.892246093750146,26.335329595103797,0.12990629077868052,5661.268828699781,-18.446171300219248,13.167708047995474
5,22,5572.9185,5546.116,26.802457031250015,26.335329595103797,0.12990629077868052,5559.517292256345,13.401292256345187,13.167708047995474
6,23,5345.711,5344.086,1.62493749999976,93.43227980834511,0.7358839762949516,5344.898374626036,0.8123746260353073,46.71609276384111
6,24,5527.5747,5480.157,47.41770703124985,93.43227980834511,0.7358839762949516,5503.865737304031,23.708737304031274,46.71609276384111
6,25,5373.963,5528.681,-154.71810937499959,93.43227980834511,0.7358839762949516,5451.3219941100915,-77.35900588990808,46.71609276384111
7,26,5348.241,5376.473,-28.231789062499956,122.62720423890703,1.0223883113932335,5362.357074222293,-14.115925777707162,61.31362976234728
7,27,5462.9985,5252.932,210.0665351562502,122.62720423890703,1.0223883113932335,5357.9653165525,105.03331655249985,61.31362976234728
7,28,5225.848,5212.162,13.686144531249738,122.62720423890703,1.0223883113932335,5219.004999146809,6.842999146808324,61.31362976234728
8,29,5247.729,5377.797,-130.06799609374957,254.92255331437704,0.6824835562277485,5312.762989012033,-65.03401098796621,127.46128445506176
8,30,5419.4536,5262.145,157.30861328124956,254.92255331437704,0.6824835562277485,5340.799341784531,78.65434178453052,127.46128445506176
8,31,5106.1543,4714.628,391.5262968750003,254.92255331437704,0.6824835562277485,4910.391145249717,195.76314524971713,127.46128445506176
9,32,5130.836,5032.213,98.62293750000026,196.28913812837772,1.6125383125212045,5081.524386163375,49.31138616337557,98.1445277081915
9,33,5383.2505,5078.871,304.3794882812499,196.28913812837772,1.6125383125212045,5231.060707474833,152.18970747483309,98.1445277081915
9,34,5026.347,4911.391,114.95616796875038,196.28913812837772,1.6125383125212045,4968.869040072388,57.47804007238847,98.1445277081915
