year,actual,recursive_forecast,moving_forecast
2014,2148.344,2060.4143222168923,2060.4143222168923
2015,2234.219,2220.7850621677853,2218.596978904509
2016,2354.658,2311.675009142544,2307.6467576006467
2017,2426.607,2431.0365269952626,2431.6036890322493
2018,2593.058,2506.6140080141877,2506.3743125560286
2019,2612.888,2679.7343506281104,2677.407886368473
2020,2421.552,2697.2892018702073,2695.0914182129954
2021,2674.222,2500.7073790940008,2498.793677784711
2022,2831.166,2762.4694186328197,2760.346211244029
