year,actual,recursive_forecast,moving_forecast
2014,9990.257,10283.716915664827,10283.716915664827
2015,9863.457,10331.168453394734,10315.984223350433
2016,9762.714,10212.597506647957,10180.96788571972
2017,10006.343,10078.314839055098,10077.271287085807
2018,10332.992,10334.780289038172,10328.743148119127
2019,10713.984,10676.938126006951,10664.610673924692
2020,10905.693,11059.94615519248,11051.825343669647
2021,11447.913,11261.90589067802,11254.201573693119
2022,11350.538,11825.24295820275,11807.230184048893
