year,actual,recursive_forecast,moving_forecast
2014,5528.681,5646.952705074582,5646.952705074582
2015,5376.473,5690.78031546277,5695.998896883172
2016,5252.932,5529.399135104214,5537.854056073779
2017,5212.162,5419.502508871212,5411.902650727999
2018,5377.797,5377.031834196734,5372.896450159349
2019,5262.145,5547.629625212842,5544.052720817328
2020,4714.628,5431.395137315271,5420.215186279892
2021,5032.213,4867.525070192613,4857.922688367663
2022,5078.871,5196.473561736776,5185.495832357168
