iteration,time_step,prediction,actual,error,rmse,mase
0,5,5399.3076,5364.279,35.02861718749955,56.159657484732364,0.3946644195174438
0,6,5512.505,5425.259,87.24588281249999,56.159657484732364,0.3946644195174438
0,7,5637.9404,5612.983,24.957429687499825,56.159657484732364,0.3946644195174438
1,6,5493.5786,5425.259,68.31961328124999,42.33763249722066,0.2682976976291111
1,7,5592.295,5612.983,-20.688078125000175,42.33763249722066,0.2682976976291111
1,8,5704.9307,5688.142,16.788664062500175,42.33763249722066,0.2682976976291111
2,7,5595.0234,5612.983,-17.959562500000175,33.998405637414116,0.4594831688806143
2,8,5678.422,5688.142,-9.720124999999825,33.998405637414116,0.4594831688806143
2,9,5788.5137,5733.281,55.23267187500005,33.998405637414116,0.4594831688806143
3,8,5685.2534,5688.142,-2.8885820312498254,37.989826399918144,0.5351942634195939
3,9,5766.7686,5733.281,33.48755468750005,37.989826399918144,0.5351942634195939
3,10,5860.486,5803.918,56.567839843750335,37.989826399918144,0.5351942634195939
4,9,5770.529,5733.281,37.24780859375005,53.167307851780684,0.37065550822331916
4,10,5850.3013,5803.918,46.383269531250335,53.167307851780684,0.37065550822331916
4,11,5939.8403,6010.136,-70.29566796875042,53.167307851780684,0.37065550822331916
5,10,5847.856,5803.918,43.937957031250335,51.481927685971606,0.323626383807929
5,11,5942.7793,6010.136,-67.35670312500042,51.481927685971606,0.323626383807929
5,12,5946.259,5907.74,38.51878906250022,51.481927685971606,0.323626383807929
6,11,5901.109,6010.136,-109.02711328125042,67.93466428449734,0.7573658914391838
6,12,5951.354,5907.74,43.61400390625022,67.93466428449734,0.7573658914391838
6,13,5938.807,5946.308,-7.500871093749993,67.93466428449734,0.7573658914391838
7,12,5925.6387,5907.74,17.89867187500022,16.489068298033022,0.29063970861082344
7,13,5951.3857,5946.308,5.077742187500007,16.489068298033022,0.29063970861082344
7,14,5988.4775,6010.146,-21.66846093749973,16.489068298033022,0.29063970861082344
8,13,5943.397,5946.308,-2.9110273437499927,34.06047708371189,0.2882192733162188
8,14,5998.999,6010.146,-11.14697656249973,34.06047708371189,0.2882192733162188
8,15,6054.7964,6112.655,-57.858613281249745,34.06047708371189,0.2882192733162188
9,14,6011.041,6010.146,0.8950156250002692,39.82621528152188,0.48919007401443726
9,15,6088.673,6112.655,-23.982148437499745,39.82621528152188,0.48919007401443726
9,16,6067.511,6132.183,-64.67176953124999,39.82621528152188,0.48919007401443726
10,15,6080.5938,6112.655,-32.061249999999745,34.60724283191192,0.5905828967853165
10,16,6081.814,6132.183,-50.36903515624999,34.60724283191192,0.5905828967853165
10,17,6047.3926,6052.686,-5.293421874999694,34.60724283191192,0.5905828967853165
11,16,6092.4707,6132.183,-39.71229687499999,36.23978332510201,0.4519872472929136
11,17,6027.6914,6052.686,-24.994593749999694,36.23978332510201,0.4519872472929136
11,18,6088.4316,6130.123,-41.69135937499959,36.23978332510201,0.4519872472929136
12,17,6017.6084,6052.686,-35.077601562499694,30.890550576136953,0.20992564169638742
12,18,6156.724,6130.123,26.601121093750407,30.890550576136953,0.20992564169638742
12,19,5884.7114,5915.119,-30.407574218749687,30.890550576136953,0.20992564169638742
