feature,target,model,n_countries,avg_rmse,std_rmse,min_rmse,max_rmse,avg_mase,std_mase
electricity_generation,co2,ARIMA,19,139.22999208166794,316.2138446389895,9.277584726573686,1446.4328393309113,1.7344089988760498,1.366533006608007
electricity_generation,co2,LSTM,19,164.16928275987223,204.2749686866313,21.692268541133625,742.6889557684032,3.34330224032658,2.4025524978360195
electricity_generation,co2,Bi-LSTM,19,231.2276616637264,410.21153171875756,15.652356127924214,1855.4962569389497,3.585700508403678,2.2227215556178783
electricity_generation,co2,ED-LSTM,19,424.10182930792234,979.9312641792869,20.495996372375803,4274.069661790638,4.266645984156144,3.1518066746562674
electricity_generation,co2,CNN,19,267.7267465965051,449.9853934201316,21.987148214877497,1541.5474614056918,3.5215512527654513,2.5085342871488345
oil_consumption,co2,ARIMA,19,181.54094134017515,392.37218076863775,5.9527689300069175,1774.434642314348,2.4491701951906366,1.934548847656435
oil_consumption,co2,LSTM,19,515.9350773957322,1484.6001500427458,12.38618766126484,6751.310910141429,5.5153919712504464,5.192264263270009
oil_consumption,co2,Bi-LSTM,19,435.9971168711037,1308.661059933148,17.148307765290145,5973.529590632291,5.640569059315089,5.249036959001517
oil_consumption,co2,ED-LSTM,19,522.0340986328089,1614.7522797837726,19.902268210182875,7343.915888649088,5.405713990870974,5.37673458723751
oil_consumption,co2,CNN,19,237.73033809481885,553.0475345017455,14.102061175303414,2560.2884923766333,4.3468203181158245,3.7574743776484443
energy_cons_change_pct,co2,ARIMA,19,124.31073244712692,164.76263189527697,6.715311245784937,766.0675768619263,2.73379760340845,2.0203208490004387
energy_cons_change_pct,co2,LSTM,19,653.941815377443,1687.4992875400947,48.00771065503492,7582.328700349328,8.181877045833255,5.915209516600182
energy_cons_change_pct,co2,Bi-LSTM,19,675.278446011182,1797.5949494790304,45.916288305845654,8087.334201815997,8.336003902706707,6.331973035460083
energy_cons_change_pct,co2,ED-LSTM,19,686.5412645348486,1802.791935058957,53.27852466917402,8122.404761674792,8.604487140011226,6.043288440749319
energy_cons_change_pct,co2,CNN,19,680.4177253274696,1805.5363587476159,37.47771822293511,8125.252493662529,8.081290911427509,6.351821595112438
oil_cons_change_pct,co2,ARIMA,19,131.7683962360562,175.17849657950342,7.856109448831367,823.7908401932498,2.8337971772380954,1.8078838503703452
oil_cons_change_pct,co2,LSTM,19,703.1711865640183,1774.2363634615645,59.88310012502581,8066.032784128006,10.678759521116577,9.401029351480002
oil_cons_change_pct,co2,Bi-LSTM,19,677.1785611001984,1699.359007802958,55.054978805779335,7667.896667178725,10.194208640425186,8.16667345552955
oil_cons_change_pct,co2,ED-LSTM,19,688.7884073469683,1768.8792844411928,62.53035824598141,8020.173502758192,9.860491729666919,6.174659104634036
oil_cons_change_pct,co2,CNN,19,698.0517280752603,1749.7604104191653,49.02808249021555,7910.910497724458,10.406623357041768,8.244122776907965
renewables_consumption,co2,ARIMA,19,882.7582912931886,3018.712482951859,12.497785998844535,13637.359752523083,21.73558891803469,79.5112008353784
renewables_consumption,co2,LSTM,19,1125.6194897316286,1529.7900009651928,13.188790949302636,5559.018727260396,37.70287384259179,72.36929040097
renewables_consumption,co2,Bi-LSTM,19,720.3094034899019,1230.4110692070014,14.659801885179599,5631.832613105836,16.08044042260951,15.182028096267471
renewables_consumption,co2,ED-LSTM,19,1617.9417534012705,3400.1489570435147,12.356417004560377,15164.262915036023,36.42884679581312,58.263908241612256
renewables_consumption,co2,CNN,19,1182.3277622471226,2501.338820922462,23.812942704085575,11125.31573846236,19.509090817909602,24.46321050866918
wind_cons_change_twh,co2,ARIMA,19,670.6008612312353,1274.3793482858373,31.141669828954957,3798.930208019848,16.5452061379773,42.37757234972466
wind_cons_change_twh,co2,LSTM,19,8693.013882769397,26192.991598649536,29.886775544143294,115780.17856281679,131.14321736199227,310.74074004392963
wind_cons_change_twh,co2,Bi-LSTM,19,5098.34523000689,13480.96137133624,26.558863023607138,51759.20961738974,174.61479773001415,667.4145053348354
wind_cons_change_twh,co2,ED-LSTM,19,1373.3991998215843,3062.5515175945234,14.292048801853577,12190.188795711714,27.524890625423524,72.12448359122003
wind_cons_change_twh,co2,CNN,19,8293.51360705608,18763.09324036495,17.99508595520954,78943.1367975842,213.03742724783106,477.3806302735274
hydro_consumption,co2,ARIMA,19,175.14756464611898,290.5849159766308,14.03884924779471,1322.7898095020591,2.98619926363409,1.7801668269734845
hydro_consumption,co2,LSTM,19,464.2189863737584,1188.7465618648287,14.944822728257506,5484.908082449726,7.931655131480703,6.144163254566363
hydro_consumption,co2,Bi-LSTM,19,214.05764967100805,223.0149575720797,15.82364374126042,1037.6095242183762,6.630843375896305,5.750155520547571
hydro_consumption,co2,ED-LSTM,19,702.009089983634,2092.110533024753,22.61276588220253,9542.263836978284,8.91284923424078,7.90506797780063
hydro_consumption,co2,CNN,19,382.0029913081515,899.6443575206288,17.663565571195996,4164.902135751438,7.001265336401677,5.857616427528806
gas_prod_change_twh,co2,ARIMA,19,138.32632897500105,247.95079574025735,7.950282921645604,1124.1423383680797,2.387916440776513,1.5529974300840614
